VDDH [V],L_n [um],gm_id_n [1/V],Wn [um],L_p [um],gm_id_p [1/V],Wp [um],A2 [V/V],Iq_total [A],Iq_scale,Power [mW],gm_n [S],gm_p [S],gm_total [S],rout [ohm],p2 [Hz],I_pk_available [A],Vout_CM [V],V_low_sat [V],V_high_sat [V],swing_actual [V],VGS_n [V],VGS_p [V],Vgate_n [V],Vgate_p [V],Vbias_pg_minus_ng [V],C_out_parasitic [pF]
1.6,0.15,11.181818181818182,15.16868686020367,0.15,13.636363636363637,26.581211219591488,33.019854200753095,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.0034363636363636363,0.0062541818181818185,5279.644110243096,207003613.38920465,0.00252,0.8,0.08943089430894309,1.5266666666666668,1.4372357723577238,0.6446778972990911,0.5909869016630518,0.6446778972990911,1.0090130983369483,0.3643352010378572,0.02125936062712014
1.6,0.15,11.181818181818182,15.16868686020367,0.15,15.454545454545453,36.75791929473075,33.85233926037303,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.0038945454545454544,0.006712363636363636,5043.281486864176,210358214.61053133,0.00252,0.8,0.08943089430894309,1.535294117647059,1.445863223338116,0.6446778972990911,0.5686792359292226,0.6446778972990911,1.0313207640707773,0.38664286677168624,0.0269243370202662
1.6,0.15,11.181818181818182,15.16868686020367,0.15,17.272727272727273,51.96129438513553,34.514737571148146,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.004352727272727273,0.007170545454545455,4813.404752809848,208180359.52905396,0.00252,0.8,0.08943089430894309,1.5421052631578949,1.4526743688489518,0.6446778972990911,0.5475154617169418,0.6446778972990911,1.0524845382830583,0.40780664098396724,0.0353733362176336
1.6,0.15,11.181818181818182,15.16868686020367,0.15,19.09090909090909,76.07563421911003,35.02523775828121,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.0048109090909090905,0.007628727272727272,4591.229507377536,198709725.26883423,0.00252,0.8,0.08943089430894309,1.5476190476190477,1.4581881533101047,0.6446778972990911,0.5265474534837198,0.6446778972990911,1.0734525465162803,0.4287746492171892,0.048750965173175745
1.6,0.15,11.181818181818182,15.16868686020367,0.15,20.909090909090907,117.16051001331563,35.428651909980864,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.005269090909090908,0.008086909090909089,4380.9880278990695,178737652.79336774,0.00252,0.8,0.08943089430894309,1.5521739130434784,1.4627430187345354,0.6446778972990911,0.5049629081998241,0.6446778972990911,1.095037091800176,0.45035919450108486,0.07150048765282024
1.6,0.15,11.181818181818182,15.16868686020367,0.15,22.727272727272727,192.9555414054866,35.814933123181554,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.005727272727272727,0.008545090909090908,4191.287547927541,145169300.69754618,0.00252,0.8,0.08943089430894309,1.556,1.466569105691057,0.6446778972990911,0.48210152514385446,0.6446778972990911,1.1178984748561456,0.4732205775570545,0.11338498381684671
1.6,0.15,11.181818181818182,15.16868686020367,0.15,24.545454545454547,344.72511172849335,36.315285803001586,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.006185454545454546,0.009003272727272728,4033.5650049781634,97088319.67447458,0.00252,0.8,0.08943089430894309,1.5592592592592593,1.4698283649503163,0.6446778972990911,0.45756131020998114,0.6446778972990911,1.142438689790019,0.49776079249092786,0.19707123456658132
1.6,0.15,12.90909090909091,23.713405993702594,0.15,10.0,14.193245761086628,31.57108177355191,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.00252,0.00577309090909091,5468.661808847804,198293476.8570748,0.00252,0.8,0.07746478873239436,1.5,1.4225352112676057,0.6075396108522759,0.6445217838836491,0.6075396108522759,0.955478216116351,0.34793860526407505,0.017861119528576847
1.6,0.15,12.90909090909091,23.713405993702594,0.15,11.818181818181818,19.4283006854349,32.66277145395585,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.002978181818181818,0.006231272727272728,5241.749620586985,210679998.2730044,0.00252,0.8,0.07746478873239436,1.5153846153846156,1.4379198266522213,0.6075396108522759,0.6156594999126472,0.6075396108522759,0.9843405000873529,0.37680088923507693,0.02078478562573033
1.6,0.15,12.90909090909091,23.713405993702594,0.15,13.636363636363637,26.581211219591488,33.594087137971435,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.0034363636363636363,0.006689454545454545,5021.947142282097,216188803.90528658,0.00252,0.8,0.07746478873239436,1.5266666666666668,1.4492018779342726,0.6075396108522759,0.5909869016630518,0.6075396108522759,1.0090130983369483,0.4014734874846724,0.02477300999054071
